"player_id","full_name","team","positions","current_price","breakeven","current_season_average","average_3_round","average_5_round","total_points","games_played","ownership_percentage","played_status","status","injury_detail","expected_return","role_tag","goal_kicking_status","starting_status","locked_flag","active_flag"
347,"Jenkins, Thomas","PTH","CTW",872200,NA,109,NA,NA,545,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
337,"Cleary, Nathan","PTH","HFB",859600,NA,95,NA,NA,475,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
7,"Haas, Payne","BRO","FRF",809400,NA,60.8,NA,NA,304,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
373,"Hynes, Nicholas","SHA","HFB",808800,NA,99.4,NA,NA,497,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
102,"Farnworth, Herbie","DOL","CTW",792200,NA,82,NA,NA,410,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
250,"Drinkwater, Scott","NQC","FLB",768500,NA,71.2,NA,NA,356,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
475,"Tedesco, James","SYD","FLB",754700,NA,54.2,NA,NA,271,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
279,"Boyd, Tanah","NZL","HFB",748800,NA,92.6,NA,NA,463,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
28,"Walsh, Reece","BRO","FLB",746800,NA,67,NA,NA,335,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
158,"Fa'alogo, Sua","MEL",NA,746700,NA,101.6,NA,NA,508,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
507,"May, Terrell","WST","FRF",743000,NA,59.4,NA,NA,297,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
97,"Young, Hudson","CBR","2RF",740800,NA,76.4,NA,NA,382,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
127,"Campbell, Jayden","GCT","HFB",738400,NA,52.8,NA,NA,264,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
162,"Hughes, Jahrome","MEL","HFB",733200,NA,78.6,NA,NA,393,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
341,"Edwards, Dylan","PTH","FLB",732700,NA,78,NA,NA,390,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
164,"Katoa, Eliesa","MEL","2RF",728300,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
202,"Trbojevic, Tom","MNL","FLB",727800,NA,68,NA,NA,340,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
286,"Ford, Jackson","NZL","FRF",727100,NA,82,NA,NA,410,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
270,"Purdue, Jaxon","NQC","5/8",713700,NA,81.2,NA,NA,406,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
108,"Isaako, Jamayne","DOL","CTW",710500,NA,78.4,NA,NA,392,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
441,"Mitchell, Latrell","STH","CTW",706500,NA,73.4,NA,NA,367,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
417,"Su'A, Jaydn","STG",NA,702200,NA,76.4,NA,NA,382,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
510,"Pearce-Paul, Kai","WST","2RF",696600,NA,73.8,NA,NA,369,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
404,"Holmes, Valentine","STG","CTW",695200,NA,66.6,NA,NA,333,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
226,"Lucas, Dylan","NEW","2RF",695100,NA,71,NA,NA,355,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
125,"Tabuai-Fidow, Hamiso","DOL","FLB",694600,NA,75.4,NA,NA,377,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
351,"McLean, Casey","PTH","CTW",691000,NA,75.8,NA,NA,379,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
237,"Sharpe, Fletcher","NEW","5/8",686800,NA,36.4,NA,NA,182,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
98,"Averillo, Jake","DOL","CTW",686100,NA,74.4,NA,NA,372,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
24,"Staggs, Kotoni","BRO","CTW",685800,NA,70,NA,NA,350,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
246,"Clifford, Jake","NQC","5/8",684400,NA,82.2,NA,NA,411,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
193,"Olakau'atu, Haumole","MNL",NA,676800,NA,65.2,NA,NA,326,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
466,"Nawaqanitawase, Mark","SYD","CTW",675600,NA,55,NA,NA,275,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
491,"Doueihi, Adam","WST","HFB",674200,NA,72,NA,NA,360,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
45,"Kiraz, Jacob","BUL","CTW",670200,NA,53.4,NA,NA,267,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
272,"Taulagi, Murray","NQC","CTW",670200,NA,74,NA,NA,370,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
189,"Koula, Tolutau","MNL","CTW",663400,NA,65.8,NA,NA,329,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
20,"Riki, Jordan","BRO","2RF",662100,NA,70.4,NA,NA,352,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
361,"Yeo, Isaah","PTH","2RF",660000,NA,71.2,NA,NA,356,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
353,"Papali'i, Isaiah","PTH",NA,657500,NA,72,NA,NA,360,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
4,"Carrigan, Patrick","BRO","2RF/FRF",656800,NA,70,NA,NA,350,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
363,"Brailey, Blayke","SHA","HOK",655200,NA,69,NA,NA,345,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
116,"Naufahu, Tevita","DOL","CTW",655100,NA,0,NA,NA,0,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
281,"Clark, Erin","NZL","2RF",654100,NA,65.4,NA,NA,327,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
52,"Preston, Jacob","BUL","2RF",643300,NA,54,NA,NA,270,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
104,"Finefeuiaki, Kulikefu","DOL","2RF",640400,NA,81.8,NA,NA,409,5,NA,"pre","Bye Next Round","Bye Next Round",NA,NA,NA,NA,FALSE,TRUE
436,"Koloamatangi, Keaon","STH","FRF",636900,NA,52.2,NA,NA,261,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
157,"Coates, Xavier","MEL","CTW",636700,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
476,"Toia, Robert","SYD","CTW",636300,NA,53,NA,NA,265,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
241,"Young, Dominic","NEW","CTW",632900,NA,83.4,NA,NA,417,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
434,"Johnston, Alex","STH","CTW",629500,NA,51,NA,NA,255,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
374,"Iro, Kayal","SHA","CTW",627500,NA,60.6,NA,NA,303,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
381,"Mulitalo, Ronaldo","SHA","CTW",624200,NA,0,NA,NA,0,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
244,"Burns, Braidon","NQC","CTW",622600,NA,64.6,NA,NA,323,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
92,"Tamale, Savelio","CBR","CTW",619800,NA,63.2,NA,NA,316,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
159,"Grant, Harry","MEL","HOK",619100,NA,72.2,NA,NA,361,5,NA,"pre","Yet to play",NA,NA,NA,NA,NA,FALSE,TRUE
